日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-02-18,8.06,0.0,-205316064.0,-7.58,-186224400.0,-6.88,-19091664.0,-0.71,50344560.0,1.86,154971520.0,5.72
2025-02-19,7.97,-1.12,-315134720.0,-14.42,-14505056.0,-0.66,-300629664.0,-13.75,99842336.0,4.57,215292384.0,9.85
2025-02-20,7.73,-3.01,-220083344.0,-11.25,-138309088.0,-7.07,-81774256.0,-4.18,-25699152.0,-1.31,245782496.0,12.56
2025-02-21,8.51,10.09,324546816.0,8.11,713147424.0,17.81,-388600608.0,-9.71,-170932800.0,-4.27,-153613984.0,-3.84
2025-02-24,8.27,-2.82,-317599872.0,-9.81,-240795968.0,-7.44,-76803904.0,-2.37,281839232.0,8.7,35760656.0,1.1
2025-02-25,8.03,-2.9,-32411735.0,-2.0,26920393.0,1.66,-59332128.0,-3.67,-51224800.0,-3.17,83636528.0,5.17
2025-02-26,7.97,-0.75,-112415593.0,-8.18,-157805321.0,-11.48,45389728.0,3.3,37831680.0,2.75,74583920.0,5.43
2025-02-27,7.81,-2.01,-241773168.0,-15.85,-191849856.0,-12.58,-49923312.0,-3.27,106614720.0,6.99,135158432.0,8.86
2025-02-28,7.66,-1.92,18912507.0,1.62,-46200885.0,-3.95,65113392.0,5.57,-49501648.0,-4.24,30589136.0,2.62
2025-03-03,7.83,2.22,111885709.0,7.39,67031389.0,4.43,44854320.0,2.96,-11406064.0,-0.75,-100479632.0,-6.64
2025-03-04,7.71,-1.53,-169015836.0,-17.85,-29585430.0,-3.12,-139430406.0,-14.72,48724519.0,5.14,120291317.0,12.7
2025-03-05,7.95,3.11,133078636.0,10.28,16291332.0,1.26,116787304.0,9.02,-14663888.0,-1.13,-118414752.0,-9.15
2025-03-06,8.17,2.77,59904502.0,3.35,51512726.0,2.88,8391776.0,0.47,-108050784.0,-6.04,48146272.0,2.69
