序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
36,603810,丰山集团,405298867.7,305301625.18,253435942.35,2800910336.48,8.9754073191,178707588.7,,1200160522.75,18.0049678716,42.8489447562,1600749813.73,2025-08-12
37,603499,翔港科技,112605418.9,332966413.79,106331848.57,1602887337.81,17.786134519,158610375.03,3443053.85,684794968.38,26.5488695113,42.7225889323,918092369.43,2025-08-12
38,603308,应流股份,421335287.38,1341378122.01,2272103326.63,12597190795.0,10.3306865226,686917725.02,848129.33,7365882696.41,15.392314041,58.4724230686,5231308098.59,2025-08-12
39,603166,福达股份,237735371.03,430664357.6,412694069.92,4500048693.76,21.3678717212,309363812.34,,2019932593.12,47.7936165533,44.8869052444,2480116100.64,2025-08-12
40,603129,春风动力,8575911105.14,1713736319.14,2476543954.48,16744829832.31,35.6966487926,4750143573.21,,9778126001.98,45.1350445792,58.3948962151,6966703830.33,2025-08-12
41,600844,金煤科技,28900317.79,11810172.98,65934077.5,1203072399.67,-15.2940110221,266893742.98,,913277492.8,16.1516463154,75.9120974806,289794906.87,2025-08-12
42,600768,宁波富邦,123680591.66,195878990.8,177306432.25,1029539623.85,71.5018972581,28535148.65,,563348599.14,191.2423320662,54.7184961209,466191024.71,2025-08-12
43,600580,卧龙电驱,3601358038.0,5340907169.92,3477640881.2,25266975180.84,-1.1026238163,5102806403.9,964873.17,14249465549.69,-1.3096436109,56.3956130392,11017509631.15,2025-08-12
44,600509,天富能源,1609124493.74,2541471788.89,238806878.67,30189709285.32,18.8794962442,2362247520.19,19468247.67,21447422637.68,24.2946906935,71.0421635233,8742286647.64,2025-08-12
45,600355,*ST精伦,24093202.96,51281903.81,41852539.66,266331203.72,-0.876183761,18593580.48,6918248.57,155462595.1,34.6901414461,58.3719042037,110868608.62,2025-08-12
46,600309,万华化学,34193695160.4,14718517496.44,25010020060.64,315955471005.95,7.380260194,22934463024.8,,207901419122.2,6.8278834805,65.8008606277,108054051883.75,2025-08-12
47,301616,浙江华业,478257534.33,268941299.71,284155642.17,1854170855.81,39.0462393043,122731316.03,,524780027.78,14.5363867347,28.3026791267,1329390828.03,2025-08-12
48,301277,新天地,102222425.43,108061799.0,68016941.41,1765676719.66,1.6119212671,125389398.0,,257498550.08,0.4426576575,14.5835614874,1508178169.58,2025-08-12
49,301026,浩通科技,882067664.01,45067231.14,1037127374.26,4119464384.02,46.6883930983,14805077.65,,2505157596.23,96.6226067821,60.8127019121,1614306787.79,2025-08-12
50,300956,英力股份,237358205.59,793673852.71,501566917.01,3210632968.89,25.5951180598,774992151.72,1153815.4,1823352361.34,36.9232502607,56.7910558138,1387280607.55,2025-08-12
51,300937,药易购,326254349.02,351472791.94,485897506.98,1749268918.6,4.0769593039,373054745.68,,930157809.52,11.3294769607,53.1740888796,819111109.08,2025-08-12
52,300850,新强联,733142642.6,1906885635.85,1127401789.07,11210650281.89,10.4928006863,461224606.74,,5085404952.16,-0.0211741627,45.3622655626,6125245329.73,2025-08-12
53,300826,测绘股份,312921470.6,623767015.1,741295821.94,2583317733.86,3.4245161798,396070040.28,7121445.64,1139516555.36,-3.2945089306,44.110584634,1443801178.5,2025-08-12
54,300776,帝尔激光,317480376.27,992544433.86,1752630715.5,6667056822.79,1.2321307926,290751863.18,,2955198094.72,-13.5467540132,44.3253773482,3711858728.07,2025-08-12
55,300727,润禾材料,202246151.4,332107089.06,151442936.98,1693606111.81,7.4186974693,69490931.66,,433798902.06,-34.2592606763,25.6139192599,1259807209.75,2025-08-12
56,300711,广哈通信,210404086.82,323844959.71,242241122.78,1268436932.72,31.2304790196,156925936.74,104600.0,436160726.67,60.529393682,34.3856848866,832276206.05,2025-08-12
57,300619,金银河,465426335.24,1034685382.6,823294291.33,4326834909.82,-1.588253135,507356586.55,,2690986076.8,-0.9285975636,62.1929454875,1635848833.02,2025-08-12
58,300611,美力科技,223300047.01,544348866.43,352375923.95,2327041272.22,15.9964549032,314843558.28,8545396.78,1053205621.8,18.8626596893,45.2594302634,1273835650.42,2025-08-12
59,300547,川环科技,100959449.3,525367078.5,322870238.35,1517843653.08,11.3819831778,179937844.7,,278261930.19,17.9145554862,18.3327136247,1239581722.89,2025-08-12
60,300400,劲拓股份,372261515.87,293022753.55,206022907.45,1160973065.58,-4.6498121334,227221179.7,,414106292.62,12.6156265095,35.6688974876,746866772.96,2025-08-12
61,300190,维尔利,431811471.28,1645712710.99,479793241.02,7259769482.89,-15.650756787,960854196.64,,4407136366.61,-10.3743206623,60.7062851926,2852633116.28,2025-08-12
62,300047,天源迪科,278967573.04,1658071229.8,2165505671.85,6728176084.22,-3.1698553931,94171825.53,6111689.79,3375166068.55,1.97341923,50.1646512562,3353010015.67,2025-08-12
63,003015,日久光电,180854574.7,121063640.23,146692249.67,1152827044.55,1.2274402221,41427562.61,,109522106.87,-45.7214102907,9.5003068663,1043304937.68,2025-08-12
64,002920,德赛西威,923324426.18,8777327929.87,3996809671.31,21657015931.11,25.6468604034,4444444522.16,,11885783880.46,35.7581190788,54.881909485,9771232050.65,2025-08-12
65,002879,长缆科技,594262758.17,709288628.09,266988617.28,2692714515.43,5.2141678257,295243085.2,880592.14,765467983.18,10.8944547076,28.4273724078,1927246532.25,2025-08-12
66,002859,洁美科技,491504095.07,599321932.14,537849193.85,6727589900.25,24.2008223133,352624248.15,,3709998501.44,47.9883409309,55.1460263846,3017591398.81,2025-08-12
67,002827,高争民爆,685320179.49,1016236918.25,99259034.45,2750991810.52,3.0533892847,281564600.56,,1538384528.24,-3.4339717196,55.9210871642,1212607282.28,2025-08-12
68,002799,环球印务,570526761.74,197336218.09,67029050.95,1986250261.34,-3.1472572895,152724583.33,,637506259.79,-1.4804463741,32.0959685795,1348744001.55,2025-08-12
69,002648,卫星化学,8898959982.59,729526613.5,3973205745.86,69296177239.5,5.5773257208,5081395201.58,31268011.64,38163348167.93,-3.0073533004,55.0728044291,31132829071.57,2025-08-12
70,002167,东方锆业,360277096.3,205826404.14,470963069.38,2388663793.76,-27.4752549947,61049400.1,0.0,646786997.42,-66.4588207701,27.0773559305,1741876796.34,2025-08-12
71,002064,华峰化学,6680675771.84,3387164423.81,3872183191.49,36102920589.53,-4.1534437522,1548846218.77,,9276229883.36,-21.8666950494,25.6938489515,26826690706.17,2025-08-12
72,001255,博菲电气,80381655.0,256138415.97,81341229.91,1344690437.62,35.8042895719,173780962.8,,613046209.46,152.5785915095,45.5901367563,731644228.16,2025-08-12
73,000885,城发环境,1362255937.44,4715183505.64,108382603.4,31737261353.3,7.2795287922,2931861718.71,15799142.02,21785441525.67,5.4930979007,68.6431046559,9951819827.63,2025-08-12
74,688525,佰维存储,2163955037.14,1213094727.74,4382336312.31,11555825839.05,67.733912796,1035565457.83,,7344121245.12,63.8006964093,63.5534088815,4211704593.93,2025-08-11
75,603683,晶华新材,310025274.35,343356970.3,425490513.67,2977419494.48,27.4843964577,340171831.45,,1394818069.32,35.8900197485,46.8465418429,1582601425.16,2025-08-11
76,601138,工业富联,90886331000.0,97799015000.0,122949245000.0,383128084000.0,30.6494258986,122842074000.0,,231140143000.0,49.9416104481,60.3297311403,151987941000.0,2025-08-11
77,003008,开普检测,89592773.34,23381773.83,1799701.04,1111128904.91,-2.6612937485,19699018.22,,44724177.8,-23.0570196724,4.0251115422,1066404727.11,2025-08-11
78,002391,长青股份,436234658.65,1093449674.25,1247531991.77,9714204239.62,12.7804673728,720365863.69,,5461226744.34,29.6068760192,56.2189821176,4252977495.28,2025-08-11
79,000729,燕京啤酒,9237280201.22,212593032.84,3904416902.67,24937610053.21,-0.5580324184,1842652580.43,,7964063370.71,-15.3778675928,31.9359527786,16973546682.5,2025-08-11
80,688548,广钢气体,38008403.74,456967019.61,272838522.97,8408744645.11,9.4262281415,600669003.96,,2491038087.83,32.6088120652,29.624375492,5917706557.28,2025-08-09
81,688399,硕世生物,496146582.71,65698553.86,52746082.74,3880968305.56,-3.0778846122,14753534.09,,626051216.72,9.8588051074,16.1313148531,3254917088.84,2025-08-09
82,603701,德宏股份,111265281.16,283207673.57,198227397.06,1379314930.71,21.8293541486,241540205.31,1098048.22,550237506.02,64.0133730159,39.8920865546,829077424.69,2025-08-09
83,600929,雪天盐业,1830736284.44,132902925.71,397668824.29,10869485657.48,-6.5917370163,397985388.59,,2724076119.78,-11.6235453071,25.0616837413,8145409537.7,2025-08-09
84,600829,人民同泰,876306694.17,4078912713.62,1076945798.36,7010308027.31,-2.4850841813,1451525403.14,8118097.04,4056585101.29,-7.5084153533,57.8660036832,2953722926.02,2025-08-09
85,600255,鑫科材料,743139196.23,674349958.32,681284558.12,4308137099.19,5.8425270429,239330702.18,,2468377247.88,7.4300191153,57.2956986059,1839759851.31,2025-08-09
86,600203,福日电子,1704852649.56,2382220761.79,1720242312.1,8556657098.31,13.9333531866,1963589658.4,,6814419727.04,24.83849925,79.6388081087,1742237371.27,2025-08-09
87,600173,卧龙新能,548085297.63,805381764.09,2989465768.07,8198158661.34,29.8177764992,1019562071.82,118392414.11,3501598282.91,41.1772479917,42.7120092152,4696560378.43,2025-08-09
88,600020,中原高速,621333520.09,1515341344.51,4788507188.04,53013088005.69,5.0041194745,218897950.25,23749167.27,37643607646.27,5.9439093353,71.0081398055,15369480359.42,2025-08-09
89,301372,科净源,84769243.06,487035985.47,119013197.46,1451104433.18,1.2147437514,336496693.22,,665676909.32,18.0348219615,45.8738112915,785427523.86,2025-08-09
90,301037,保立佳,246635645.06,562206330.1,121915529.44,2446792942.95,-3.3524489919,148000261.12,,1810557207.29,3.4412490623,73.9971566661,636235735.66,2025-08-09
