序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4967,600862,中航高科,25.6,-2.29,-0.6,237729.0,609824744.0,3.32,26.25,25.38,26.19,26.2,1.87,1.71,24.92,5.03,35662057139.0,35662057139.0,0.0,0.08,9.78,2.36
4968,688203,海正生材,13.68,-2.29,-0.32,36715.0,50206315.0,3.5,14.0,13.51,14.0,14.0,0.38,3.12,2969.39,1.88,2772635970.0,1610517768.0,-0.36,0.44,33.72,41.32
4969,002623,亚玛顿,21.27,-2.3,-0.5,76205.0,162401292.44,2.48,21.7,21.16,21.63,21.77,0.82,3.84,209.63,1.46,4234059375.0,4224990379.0,-0.23,0.0,46.19,42.27
4970,603466,风语筑,10.6,-2.3,-0.25,288495.0,307406619.0,2.86,10.88,10.57,10.85,10.85,0.79,4.85,39.14,3.01,6304730021.0,6304730021.0,-0.19,0.0,5.68,16.23
4971,001316,润贝航科,35.67,-2.3,-0.84,27834.0,99746522.6,3.4,36.67,35.43,36.27,36.51,0.66,2.51,30.16,3.44,4106851182.0,3950806168.0,0.0,-0.06,8.12,74.43
4972,300485,赛升药业,14.43,-2.3,-0.34,200523.0,292208991.27,5.89,15.18,14.31,14.77,14.77,0.83,7.32,43.47,2.05,6950446152.0,3951181936.0,0.28,0.49,64.91,105.85
4973,600354,敦煌种业,6.81,-2.3,-0.16,323509.0,221657718.0,2.87,6.99,6.79,6.95,6.97,0.88,6.13,14.07,5.02,3594332165.0,3594332165.0,0.0,0.0,8.96,15.03
4974,002634,棒杰股份,5.1,-2.3,-0.12,226686.0,117313473.04,4.21,5.3,5.08,5.24,5.22,0.89,5.08,-12.04,9.3,2342697816.0,2277224144.0,0.0,0.2,26.24,35.64
4975,688616,西力科技,14.04,-2.3,-0.33,34927.0,49207606.0,4.24,14.51,13.9,14.43,14.37,1.36,1.95,30.02,3.15,2518470841.0,2518470841.0,-0.07,-0.14,26.15,39.01
4976,002827,高争民爆,45.63,-2.31,-1.08,163936.0,749773829.46,3.55,46.86,45.2,46.71,46.71,0.73,5.94,91.0,13.19,12593880000.0,12593821822.0,-0.04,-0.15,61.29,81.36
4977,688523,航天环宇,25.78,-2.31,-0.61,102483.0,262717821.0,5.95,26.57,25.0,26.05,26.39,0.94,10.62,263.73,6.39,10489366400.0,2488180856.0,0.39,0.51,28.32,28.9
4978,688229,博睿数据,63.55,-2.31,-1.5,12716.0,80720901.0,5.44,66.16,62.62,66.09,65.05,0.63,2.86,-76.63,6.87,2821620000.0,2821620000.0,0.51,0.95,25.37,52.0
4979,603978,深圳新星,17.24,-2.32,-0.41,64059.0,110873784.0,3.57,17.79,17.16,17.79,17.65,0.93,3.03,375.74,2.1,3639265715.0,3639265715.0,-0.06,0.0,17.68,11.88
4980,301265,华新环保,11.3,-2.33,-0.27,68879.0,78491753.67,2.85,11.63,11.3,11.63,11.57,0.83,4.06,78.35,1.66,3423596957.0,1918707829.0,-0.09,-0.09,19.96,26.68
4981,002625,光启技术,43.61,-2.33,-1.04,313440.0,1374103000.41,2.67,44.69,43.5,44.68,44.65,0.94,1.45,156.06,10.34,93961576662.0,93961265941.0,0.0,-0.05,5.57,-8.77
4982,833230,欧康医药,16.77,-2.33,-0.4,21347.0,36108485.17,2.91,17.26,16.76,17.17,17.17,0.75,4.57,251.78,4.21,1684504491.0,783310165.0,0.0,-0.24,-1.64,57.02
4983,688176,亚虹医药-U,11.33,-2.33,-0.27,108656.0,123735958.0,3.53,11.68,11.27,11.6,11.6,0.8,2.49,-19.37,3.41,6471361606.0,4936321802.0,0.0,0.09,45.82,66.86
4984,600010,包钢股份,2.51,-2.33,-0.06,10239188.0,2574589626.0,2.33,2.56,2.5,2.55,2.57,0.7,3.26,632.03,2.19,113674434563.0,78765803700.0,0.0,0.0,40.22,34.95
4985,002767,先锋电子,20.14,-2.33,-0.48,76034.0,153772845.15,2.33,20.54,20.06,20.45,20.62,0.49,5.84,263.54,3.63,3021000000.0,2621871945.0,0.0,0.05,16.42,52.0
4986,603585,苏利股份,19.18,-2.34,-0.46,35909.0,69385771.0,3.11,19.76,19.15,19.64,19.64,1.26,1.97,26.25,1.48,3584490819.0,3504797919.0,0.05,0.05,21.32,60.23
4987,688603,天承科技,70.9,-2.34,-1.7,35460.0,253105277.0,5.59,74.46,70.4,74.46,72.6,0.79,7.48,116.52,7.92,8842968752.0,3362191936.0,0.0,0.06,57.52,31.05
4988,603586,金麒麟,19.58,-2.34,-0.47,63344.0,124920480.0,2.54,20.04,19.53,20.04,20.05,0.87,3.23,12.78,1.7,3838713432.0,3838713432.0,0.1,0.1,11.69,39.16
4989,688357,建龙微纳,34.25,-2.34,-0.82,21301.0,73395556.0,3.42,35.38,34.18,35.35,35.07,0.69,2.13,33.71,2.04,3427002974.0,3427002974.0,0.0,0.03,34.79,57.62
4990,688506,百利天恒,296.25,-2.35,-7.14,9351.0,279124990.0,4.88,308.41,293.6,303.39,303.39,1.17,0.91,-55.88,35.24,118796250000.0,30481494300.0,-0.04,-0.13,11.17,54.51
4991,688621,阳光诺和,67.04,-2.36,-1.62,40357.0,270329690.0,5.43,69.58,65.85,68.88,68.66,0.58,3.6,63.46,7.42,7508480000.0,7508480000.0,0.0,-0.09,41.29,78.58
4992,301331,恩威医药,36.48,-2.36,-0.88,18743.0,68617867.36,4.42,37.73,36.08,37.42,37.36,0.86,5.66,57.55,3.55,3753496038.0,1207550125.0,0.03,-0.03,42.61,59.16
4993,001223,欧克科技,46.26,-2.36,-1.12,15366.0,71254621.4,4.26,47.71,45.69,47.28,47.38,1.08,6.58,26.64,2.28,4318463520.0,1080263520.0,-0.06,-0.11,24.66,48.13
4994,300009,安科生物,12.01,-2.36,-0.29,1200726.0,1445084741.45,5.37,12.48,11.82,12.34,12.3,0.92,9.83,24.03,5.24,20086980309.0,14672619498.0,-0.17,0.0,39.81,43.15
4995,002068,黑猫股份,11.55,-2.37,-0.28,274868.0,316209324.0,4.9,11.88,11.3,11.82,11.83,0.69,3.74,-59.78,2.97,8493237014.0,8482444983.0,0.35,0.35,0.43,8.55
4996,300199,翰宇药业,24.28,-2.37,-0.59,1045372.0,2541000096.0,4.7,25.1,23.93,24.7,24.87,0.57,14.8,76.73,33.07,21445099638.0,17148554299.0,-0.04,0.08,71.59,88.36
4997,688788,科思科技,73.42,-2.37,-1.78,67499.0,493980583.0,5.64,75.56,71.32,73.98,75.2,0.54,4.3,-49.41,5.45,11532403035.0,11532403035.0,-0.15,-0.19,94.39,244.21
4998,688282,理工导航,52.3,-2.37,-1.27,10763.0,56047708.0,5.32,53.85,51.0,53.42,53.57,0.75,2.95,-109.41,3.61,4602400000.0,1909996000.0,0.0,0.27,19.98,69.26
4999,688210,统联精密,39.5,-2.37,-0.96,77794.0,304471958.0,5.26,40.46,38.33,39.97,40.46,0.7,4.85,576.94,5.06,6329531706.0,6329531706.0,-0.28,-0.2,113.74,99.39
5000,688125,安达智能,43.89,-2.38,-1.07,9840.0,43130242.0,3.36,45.01,43.5,44.65,44.96,0.97,4.37,-44.55,1.9,3595207040.0,987411588.0,0.37,0.16,24.4,12.34
5001,688219,会通股份,13.1,-2.38,-0.32,198895.0,261509987.0,3.2,13.45,13.02,13.38,13.42,0.71,3.61,36.35,2.58,7210731944.0,7210731944.0,0.08,0.31,5.31,29.57
5002,600110,诺德股份,6.14,-2.38,-0.15,1503054.0,920085781.0,3.18,6.25,6.05,6.21,6.29,0.65,8.66,-70.7,1.86,10654010922.0,10654010922.0,0.16,0.16,73.94,53.5
5003,830946,森萱医药,11.91,-2.38,-0.29,59978.0,71969370.03,3.61,12.29,11.85,12.25,12.2,0.95,1.41,43.78,4.38,5084597429.0,5083034242.0,0.0,0.0,-0.33,37.37
5004,872925,锦好医疗,24.16,-2.38,-0.59,20591.0,50274681.38,3.52,24.95,24.08,24.78,24.75,0.67,3.72,176.95,6.48,2378809135.0,1335928480.0,0.0,-0.62,48.31,108.1
5005,834950,迅安科技,23.33,-2.38,-0.57,13007.0,30515818.27,3.22,23.95,23.18,23.72,23.9,0.51,3.51,34.65,5.94,1710555600.0,864376500.0,0.09,0.09,17.47,84.28
5006,300980,祥源新材,24.24,-2.38,-0.59,46249.0,112613987.96,4.31,25.15,24.08,24.94,24.83,0.58,4.7,116.53,2.43,3350235682.0,2383796700.0,-0.04,0.0,4.66,6.69
5007,300390,天华新能,20.9,-2.38,-0.51,278311.0,581228740.11,2.66,21.28,20.71,21.24,21.41,1.42,4.14,1332.0,1.6,17362691469.0,14044964107.0,-0.1,-0.05,17.02,-6.9
5008,688671,碧兴物联,24.15,-2.38,-0.59,15014.0,36433149.0,3.27,24.85,24.04,24.74,24.74,1.07,3.2,-46.36,1.74,1896231435.0,1131357996.0,0.08,0.17,20.99,42.98
5009,000972,*ST中基,3.67,-2.39,-0.09,255068.0,93607271.4,5.59,3.8,3.59,3.74,3.76,0.73,3.31,-97.53,-81.75,2830610735.0,2830610735.0,0.0,0.0,5.16,31.07
5010,300830,金现代,13.09,-2.39,-0.32,464202.0,615930251.14,4.55,13.68,13.07,13.28,13.41,0.49,14.71,-172.92,4.75,5630376554.0,4130838841.0,-0.15,-0.08,55.46,61.21
5011,301179,泽宇智能,16.71,-2.39,-0.41,147730.0,248421594.38,4.03,17.37,16.68,17.3,17.12,0.52,6.29,138.5,2.9,6712752847.0,3923594341.0,0.06,0.06,24.52,9.07
5012,688137,近岸蛋白,45.83,-2.39,-1.12,9867.0,45241474.0,3.73,47.0,45.25,46.96,46.95,0.77,3.02,-68.09,1.54,3216140369.0,1497515369.0,0.07,0.07,36.93,38.04
5013,300819,聚杰微纤,26.92,-2.39,-0.66,50250.0,135649343.41,4.13,27.73,26.59,27.5,27.58,0.59,3.73,68.27,4.74,4016598600.0,3627799770.0,0.0,0.04,-1.03,111.97
5014,688285,高铁电气,9.36,-2.4,-0.23,47889.0,45190219.0,3.86,9.67,9.3,9.59,9.59,0.86,1.27,180.04,2.14,3522073586.0,3522073586.0,0.21,0.21,16.27,26.66
5015,688030,山石网科,19.91,-2.4,-0.49,45694.0,91990130.0,6.18,20.97,19.71,20.41,20.4,0.94,2.54,-12.06,4.32,3588432221.0,3588432221.0,-0.1,-0.1,30.56,28.45
5016,300149,睿智医药,12.63,-2.4,-0.31,361500.0,457653082.81,3.94,13.02,12.51,12.94,12.94,0.8,7.27,236.72,5.15,6289285219.0,6278176111.0,0.08,0.16,98.9,96.73
5017,605398,新炬网络,32.5,-2.4,-0.8,72859.0,237891323.0,2.88,33.3,32.34,33.3,33.3,0.65,4.48,242.08,5.16,5288282318.0,5288282318.0,-0.03,-0.06,8.44,49.63
5018,688707,振华新材,15.45,-2.4,-0.38,132282.0,205642775.0,3.85,16.0,15.39,16.0,15.83,0.78,2.6,-20.12,1.82,7860036167.0,7860036167.0,0.19,0.19,33.77,41.1
5019,688612,威迈斯,32.77,-2.41,-0.81,30548.0,100538035.0,4.14,33.84,32.45,33.59,33.58,0.8,1.2,34.2,4.32,13794765543.0,8334121290.0,0.06,0.03,31.03,41.37
5020,838971,天马新材,38.05,-2.41,-0.94,51516.0,200209117.33,5.1,39.97,37.98,39.28,38.99,0.69,6.11,1028.54,9.22,3998598476.0,3209624116.0,-0.03,-0.03,14.09,51.71
5021,831627,力王股份,27.12,-2.41,-0.67,18781.0,51244343.14,2.41,27.72,27.05,27.59,27.79,1.36,4.01,98.98,5.78,2561484000.0,1269690600.0,0.07,0.0,-3.59,41.99
5022,603039,泛微网络,64.45,-2.41,-1.59,31310.0,202847834.0,3.3,66.28,64.1,66.06,66.04,0.85,1.2,160.78,7.74,16795868055.0,16795868055.0,0.0,0.02,4.07,31.72
5023,000953,河化股份,8.08,-2.42,-0.2,311732.0,253097007.36,3.99,8.35,8.02,8.22,8.28,0.63,8.51,542.99,20.15,2958267336.0,2958267336.0,0.0,0.12,23.55,44.54
5024,001277,速达股份,52.4,-2.42,-1.3,16292.0,86587681.94,4.1,54.5,52.3,53.69,53.7,0.81,8.57,90.37,2.69,3982400000.0,995600000.0,-0.1,-0.55,32.66,32.39
5025,301357,北方长龙,154.56,-2.42,-3.84,100985.0,1565166564.26,10.93,166.32,149.0,158.4,158.4,0.72,42.43,-725.49,13.12,14714112000.0,3678528000.0,-0.29,0.29,322.99,364.98
5026,688701,卓锦股份,10.06,-2.42,-0.25,31136.0,31592660.0,3.98,10.44,10.03,10.41,10.31,0.76,2.32,283.94,6.75,1350830362.0,1350830362.0,0.0,-0.1,29.81,88.04
5027,688287,*ST观典,5.24,-2.42,-0.13,29385.0,15468591.0,2.61,5.37,5.23,5.35,5.37,0.82,0.79,-29.36,2.36,1941501744.0,1941501744.0,-0.19,0.0,10.78,-4.38
5028,002756,永兴材料,36.53,-2.43,-0.91,149776.0,546515692.67,2.46,37.09,36.17,37.04,37.44,1.26,3.85,25.72,1.6,19693379256.0,14198994669.0,0.03,-0.03,17.08,-1.88
5029,002190,成飞集成,36.47,-2.43,-0.91,266667.0,977233453.45,3.34,37.58,36.33,37.2,37.38,0.56,7.43,6754.15,3.85,13082859139.0,13082859139.0,0.0,0.05,-7.62,88.57
5030,300648,星云股份,55.03,-2.43,-1.37,105082.0,590876164.09,7.2,58.86,54.8,57.0,56.4,1.0,9.9,-596.09,6.89,9590705442.0,5843604828.0,-0.65,-1.19,44.59,139.26
5031,688393,安必平,30.85,-2.44,-0.77,35938.0,111380644.0,4.55,31.89,30.45,31.48,31.62,0.73,3.84,-65.22,2.34,2886563514.0,2886563514.0,-0.06,-0.06,4.08,79.26
5032,300767,震安科技,16.32,-2.45,-0.41,174444.0,288353334.07,4.72,17.09,16.3,16.9,16.73,0.58,7.28,-157.7,2.76,4509069577.0,3911863102.0,-0.18,0.06,57.68,80.93
5033,836208,青矩技术,27.89,-2.45,-0.7,26387.0,73682265.15,2.97,28.51,27.66,28.5,28.59,0.81,3.01,63.97,4.14,3731809011.0,2443678877.0,0.04,0.07,10.98,29.66
5034,002990,盛视科技,30.72,-2.45,-0.77,47759.0,147492803.52,3.11,31.6,30.62,31.4,31.49,1.09,3.56,66.33,3.37,8027362959.0,4119410319.0,-0.03,0.0,7.9,33.8
5035,835892,中科美菱,22.58,-2.46,-0.57,34272.0,78325576.29,4.45,23.48,22.45,22.98,23.15,0.95,12.28,107.89,3.58,2184184490.0,629940837.0,0.04,0.13,9.99,65.91
5036,603777,来伊份,13.87,-2.46,-0.35,182536.0,254146153.0,2.18,14.08,13.77,13.96,14.22,1.15,5.46,93.25,2.68,4638463182.0,4638463182.0,-0.36,-0.64,2.89,-10.05
5037,300916,朗特智能,43.89,-2.47,-1.11,104518.0,467208228.56,6.42,46.46,43.57,44.55,45.0,0.68,11.32,52.44,4.85,6348425467.0,4052710036.0,0.3,-0.02,56.86,48.28
5038,837006,晟楠科技,34.0,-2.47,-0.86,31069.0,106193795.14,3.24,35.01,33.88,35.0,34.86,0.72,9.06,1246.38,9.84,3069764800.0,1165923784.0,0.0,0.29,2.91,38.83
5039,301229,纽泰格,22.48,-2.47,-0.57,80950.0,181579388.1,4.73,23.19,22.1,23.19,23.05,0.8,7.49,98.86,3.85,3602237867.0,2428584021.0,0.04,0.13,23.11,44.38
5040,688557,兰剑智能,35.94,-2.47,-0.91,27712.0,99919238.0,4.02,37.04,35.56,37.04,36.85,0.89,2.7,560.86,3.22,3690306262.0,3690306262.0,0.11,0.22,32.67,90.76
5041,600316,洪都航空,42.62,-2.47,-1.08,209112.0,896510906.0,4.3,44.27,42.39,43.73,43.7,1.07,2.92,-895.11,5.74,30563420501.0,30563420501.0,0.0,0.24,17.8,32.77
5042,300971,博亚精工,22.5,-2.47,-0.57,86366.0,196002881.74,3.6,23.25,22.42,23.03,23.07,0.79,9.38,402.0,2.68,2646000000.0,2071406205.0,0.0,0.04,36.12,57.12
5043,688425,铁建重工,5.92,-2.47,-0.15,979717.0,582299933.0,2.8,6.06,5.89,6.05,6.07,0.75,1.84,23.76,1.81,31574302240.0,31574302240.0,0.0,0.17,52.97,37.04
