序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301632,N广建科,34.01,418.45,27.45,582534.0,1948170150.51,152.13,40.0,30.02,32.66,6.56,,84.59,-252.93,5.41,14235225600.0,2342046173.0,-0.03,1.83,418.45,418.45
2,300815,玉禾田,29.5,20.02,4.92,760312.0,2173939938.74,13.79,29.5,26.11,26.11,24.58,3.16,19.65,18.23,2.84,11758464000.0,11411733744.0,0.0,0.0,70.42,93.82
3,688584,上海合晶,22.86,20.0,3.81,253764.0,555095135.0,20.58,22.86,18.94,19.2,19.05,5.68,7.47,198.0,3.77,15212377950.0,7767562664.0,0.0,0.0,37.21,18.08
4,301486,致尚科技,91.97,20.0,15.33,210104.0,1776853519.41,23.06,91.97,74.3,78.01,76.64,2.85,29.0,125.45,4.81,11834791110.0,6663571847.0,0.0,0.0,38.78,93.83
5,300637,扬帆新材,14.64,20.0,2.44,308218.0,437823964.19,12.46,14.64,13.12,13.12,12.2,3.26,13.14,74.27,4.87,3436741903.0,3433152380.0,0.0,0.0,38.77,59.13
6,688256,寒武纪-U,848.88,20.0,141.48,191622.0,15126074903.0,21.6,848.88,696.06,702.5,707.4,2.98,4.58,249.76,60.24,355129138149.0,355129138149.0,0.0,0.1,26.33,29.01
7,300620,光库科技,66.08,19.99,11.01,16982.0,112220293.92,0.0,66.08,66.08,66.08,55.07,0.09,0.69,379.58,8.53,16465850414.0,16312078355.0,0.0,0.0,58.39,36.25
8,688702,盛科通信-U,78.0,19.27,12.6,112245.0,817382027.0,20.52,78.48,65.06,65.4,65.4,4.1,5.57,-526.07,13.73,31980000000.0,15716359074.0,-0.01,0.05,29.83,-7.14
9,688273,麦澜德,52.83,18.06,8.08,150452.0,771014885.0,18.28,53.7,45.52,45.6,44.75,2.49,40.85,33.13,4.03,5283000000.0,1945559316.0,0.38,1.21,86.15,129.9
10,300453,三鑫医疗,10.75,14.24,1.34,810005.0,868522524.04,18.92,11.29,9.51,9.68,9.41,5.11,22.68,24.39,4.17,5615773394.0,3840047651.0,0.0,0.47,35.22,48.07
11,301018,申菱环境,56.02,13.13,6.5,283193.0,1563394808.17,21.69,59.42,48.68,49.0,49.52,1.86,14.23,68.83,5.85,14904264635.0,11146602692.0,0.0,0.43,53.99,45.96
12,301173,毓恬冠佳,53.25,12.11,5.75,79890.0,426399847.89,17.68,56.2,47.8,47.8,47.5,2.51,47.38,57.87,3.41,4677201609.0,897897400.0,-0.06,-0.17,15.58,89.5
13,300398,飞凯材料,23.19,11.81,2.45,1271673.0,2822316877.54,15.19,23.98,20.83,21.48,20.74,2.67,22.55,27.45,2.89,13147488176.0,13075687089.0,0.0,-0.04,20.47,47.71
14,300806,斯迪克,21.0,11.46,2.16,368437.0,743841313.73,14.28,21.45,18.76,18.8,18.84,3.48,11.64,246.86,4.28,9519310563.0,6644834049.0,0.05,-0.1,24.78,62.29
15,300902,国安达,26.24,11.42,2.69,196973.0,503537818.35,11.42,26.49,23.8,23.8,23.55,3.63,16.2,443.3,5.81,4770520403.0,3190344323.0,0.08,-0.38,43.86,14.69
16,300857,协创数据,85.66,11.29,8.69,314663.0,2627633105.14,7.93,86.6,80.5,82.37,76.97,5.65,9.12,32.45,8.1,29648705073.0,29563708938.0,-0.01,-0.09,15.94,12.5
17,688626,翔宇医疗,64.4,11.02,6.39,102825.0,644485141.0,16.67,66.5,56.83,58.01,58.01,1.18,6.43,112.24,5.16,10304000000.0,10304000000.0,0.0,-0.16,67.49,120.85
18,688498,源杰科技,270.03,10.71,26.13,47854.0,1255358889.0,16.81,281.99,241.0,241.0,243.9,1.34,7.96,405.17,11.12,23208464452.0,16242107648.0,0.06,-1.35,95.84,101.51
19,301033,迈普医学,88.8,10.38,8.35,23966.0,209406256.37,16.61,92.5,79.14,80.45,80.45,2.01,4.27,61.2,8.59,5915139295.0,4978787695.0,0.03,0.34,40.37,114.23
20,688376,美埃科技,50.7,10.34,4.75,43317.0,213509672.0,12.51,51.46,45.71,45.96,45.95,2.02,8.5,40.64,3.76,6814080000.0,2584969362.0,-0.02,0.72,45.06,52.76
21,835305,*ST云创,17.49,10.28,1.63,108985.0,186486629.3,12.42,17.77,15.8,16.06,15.86,1.45,13.44,-76.26,3.71,2315258426.0,1418454304.0,0.17,0.23,34.54,-13.88
22,839680,*ST广道,9.5,10.21,0.88,157195.0,147081992.22,13.92,9.82,8.62,8.66,8.62,1.12,33.52,-26.12,9.73,636499050.0,445486768.0,0.0,0.64,42.22,-35.72
23,600984,建设机械,3.8,10.14,0.35,917617.0,335783001.0,11.01,3.8,3.42,3.45,3.45,4.19,7.3,-4.94,1.18,4776766915.0,4776766915.0,0.0,0.0,13.43,19.12
24,601929,吉视传媒,3.27,10.1,0.3,5515089.0,1746292796.0,8.08,3.27,3.03,3.04,2.97,0.95,15.8,-27.7,2.17,11411607309.0,11411607309.0,0.0,0.0,77.72,74.87
25,600581,八一钢铁,5.13,10.09,0.47,2656986.0,1316686433.0,9.87,5.13,4.67,4.94,4.66,3.11,17.33,-5.33,-27.89,7893487241.0,7863766073.0,0.0,0.0,54.52,67.1
26,002307,北新路桥,5.58,10.06,0.51,1227049.0,681857939.84,3.75,5.58,5.39,5.58,5.07,2.1,9.67,-25.83,2.39,7077067028.0,7077067028.0,0.0,0.0,36.1,50.81
27,000011,深物业A,10.52,10.04,0.96,479395.0,478120614.86,9.73,10.52,9.59,9.6,9.56,4.76,9.11,313.13,1.86,6269700048.0,5538522712.0,0.0,0.0,20.78,20.37
28,000014,沙河股份,14.25,10.04,1.3,221340.0,314932849.42,1.78,14.25,14.02,14.16,12.95,2.75,9.14,-90.41,2.14,3449158692.0,3449158692.0,0.0,0.0,19.95,29.66
29,600203,福日电子,17.34,10.03,1.58,2890873.0,4879440100.0,14.15,17.34,15.11,15.12,15.76,1.52,48.75,232.8,6.17,10282413342.0,10282413342.0,0.0,0.29,81.57,93.96
30,000006,深振业Ａ,7.46,10.03,0.68,1143790.0,825668425.71,7.08,7.46,6.98,7.04,6.78,2.69,8.47,-97.08,1.87,10070963043.0,10070905974.0,0.0,0.0,7.18,1.91
31,002298,中电鑫龙,8.56,10.03,0.78,963995.0,810616906.61,10.15,8.56,7.77,7.78,7.78,1.26,14.75,37.52,3.07,6335349313.0,5595375961.0,0.0,0.0,45.83,60.9
32,002052,同洲电子,11.96,10.03,1.09,181020.0,215967871.88,1.93,11.96,11.75,11.89,10.87,0.82,2.63,22.16,31.01,8999178740.0,8245070374.0,0.0,0.0,25.1,92.28
33,002176,江特电机,9.55,10.02,0.87,3859477.0,3586695768.12,6.68,9.55,8.97,9.15,8.68,7.74,22.62,-94.56,4.71,16295409299.0,16292482558.0,0.0,0.0,33.38,28.88
34,002270,华明装备,20.09,10.02,1.83,355227.0,695532544.62,9.8,20.09,18.3,18.37,18.26,4.75,3.96,24.43,5.69,18005168909.0,18004784185.0,0.0,0.0,31.74,20.88
35,002328,新朋股份,6.81,10.02,0.62,607044.0,405156492.36,9.21,6.81,6.24,6.26,6.19,3.42,10.64,32.44,1.62,5255753700.0,3887092812.0,0.0,0.0,21.82,13.31
36,601137,博威合金,22.18,10.02,2.02,1053895.0,2307461607.0,10.32,22.18,20.1,20.22,20.16,5.61,13.0,14.2,2.18,17999286055.0,17977993255.0,0.0,0.0,25.31,12.02
37,600211,西藏药业,48.04,10.01,4.37,174963.0,833269238.0,8.15,48.04,44.48,44.89,43.67,1.26,5.43,14.38,4.0,15484214176.0,15484214176.0,0.0,0.0,33.0,33.63
38,605298,必得科技,21.65,10.01,1.97,48505.0,101671271.0,8.38,21.65,20.0,20.0,19.68,0.41,2.63,140.77,4.07,4066952500.0,3997715800.0,0.0,0.0,67.31,61.57
39,605188,国光连锁,13.3,10.01,1.21,43643.0,58045190.0,0.0,13.3,13.3,13.3,12.09,0.52,0.87,76.65,5.69,6667974950.0,6667974950.0,0.0,0.0,-9.09,74.31
40,603610,麒盛科技,14.4,10.01,1.31,513322.0,723914607.0,10.62,14.4,13.01,13.05,13.09,2.98,14.54,28.57,1.66,5083079342.0,5083079342.0,0.0,0.0,12.94,15.11
41,600053,九鼎投资,19.67,10.01,1.79,52798.0,103854531.0,0.0,19.67,19.67,19.67,17.88,0.37,1.22,-64.08,3.29,8527747536.0,8527747536.0,0.0,0.0,22.55,41.82
42,000026,飞亚达,21.44,10.01,1.95,562651.0,1139731870.45,9.95,21.44,19.5,20.01,19.49,1.67,15.42,48.0,2.65,8699580310.0,7820654285.0,0.0,0.0,73.46,115.05
43,600246,万通发展,9.23,10.01,0.84,3392600.0,3073158388.0,8.58,9.23,8.51,9.01,8.39,4.09,17.95,-123.7,3.39,17448507153.0,17448507153.0,0.0,0.0,61.93,23.89
44,002941,新疆交建,16.71,10.01,1.52,77396.0,129329066.91,0.0,16.71,16.71,16.71,15.19,0.41,1.2,-364.13,3.13,10787664893.0,10787664893.0,0.0,0.0,46.97,51.63
45,600113,浙江东日,39.71,10.0,3.61,196223.0,759216478.0,8.01,39.71,36.82,37.0,36.1,1.97,4.77,165.72,6.87,16724925169.0,16337931364.0,0.0,0.0,179.65,187.75
46,603080,新疆火炬,26.74,10.0,2.43,158874.0,408778889.0,12.05,26.74,23.81,24.31,24.31,1.18,11.23,20.8,2.53,3783710000.0,3783710000.0,0.0,0.0,60.7,72.29
47,603757,大元泵业,35.41,10.0,3.22,61486.0,216528800.0,4.38,35.41,34.0,34.0,32.19,0.51,3.73,37.19,3.65,5833710002.0,5833710002.0,0.0,0.0,48.16,78.39
48,002104,恒宝股份,22.33,10.0,2.03,2644668.0,5556096023.91,12.91,22.33,19.71,20.19,20.3,1.49,44.1,165.2,7.46,15816789039.0,13390854489.0,0.0,0.0,198.13,234.28
49,603706,东方环宇,24.52,10.0,2.23,156790.0,376839922.0,10.63,24.52,22.15,22.29,22.29,2.9,8.28,14.29,2.9,4643664147.0,4643664147.0,0.0,0.0,34.06,37.68
50,600619,海立股份,22.98,10.0,2.09,1697386.0,3813083374.0,12.45,22.98,20.38,20.69,20.89,1.07,21.51,404.19,4.04,24665454450.0,18135236858.0,0.0,0.0,93.92,88.52
51,600410,华胜天成,15.62,10.0,1.42,4095995.0,6062513290.0,13.73,15.62,13.67,13.75,14.2,1.5,37.36,28.9,3.77,17127246948.0,17127246948.0,0.0,0.0,46.12,116.04
52,003017,大洋生物,34.87,10.0,3.17,75787.0,257823397.5,6.81,34.87,32.71,32.71,31.7,0.99,10.94,24.96,2.78,2929080000.0,2416072142.0,0.0,0.0,40.83,90.34
53,603023,威帝股份,4.62,10.0,0.42,482331.0,213862812.0,11.43,4.62,4.14,4.18,4.2,2.43,8.64,804.71,3.35,2578502420.0,2578502420.0,0.0,0.0,26.23,68.61
54,002549,凯美特气,13.65,9.99,1.24,833999.0,1083366278.03,11.28,13.65,12.25,12.48,12.41,1.12,12.05,84.98,4.63,9491498849.0,9450707530.0,0.0,0.0,38.86,122.68
55,002173,创新医疗,20.59,9.99,1.87,1596971.0,3160235580.48,13.03,20.59,18.15,18.15,18.72,1.22,38.36,-399.87,5.15,9086044808.0,8571708481.0,0.0,0.0,101.86,158.67
56,002148,北纬科技,11.45,9.99,1.04,2732456.0,3078065377.28,6.72,11.45,10.75,11.25,10.41,3.02,60.81,-210.74,5.27,6400404929.0,5144686646.0,0.0,0.0,76.43,73.75
57,603090,宏盛股份,35.35,9.99,3.21,74137.0,255203039.0,8.87,35.35,32.5,32.87,32.14,2.19,7.41,37.66,6.18,3535000000.0,3535000000.0,0.0,0.0,53.1,105.4
58,002670,国盛金控,17.74,9.98,1.61,2008513.0,3447069977.53,10.73,17.74,16.01,16.15,16.13,2.74,12.37,121.92,3.08,34328401744.0,28798240247.0,0.0,0.0,44.82,35.52
59,605169,洪通燃气,17.97,9.98,1.63,366189.0,623408309.0,13.71,17.97,15.73,16.8,16.34,1.77,12.95,56.39,2.71,5083353600.0,5083353600.0,0.0,0.0,54.78,80.97
60,000417,合百集团,6.28,9.98,0.57,980187.0,613269396.08,8.23,6.28,5.81,5.81,5.71,7.63,12.58,16.27,1.04,4897672776.0,4892292392.0,0.0,0.0,9.22,0.16
61,002040,南 京 港,10.69,9.98,0.97,550031.0,565567073.5,9.36,10.69,9.78,9.79,9.72,6.66,11.32,32.51,1.59,5216153270.0,5194700150.0,0.0,0.0,-4.21,64.46
62,000561,烽火电子,11.36,9.97,1.03,498859.0,559191176.76,10.45,11.36,10.28,10.33,10.33,1.32,8.29,-44.99,2.4,9815247184.0,6836335172.0,0.0,0.0,39.9,28.51
63,002676,顺威股份,10.48,9.97,0.95,654573.0,662000373.8,8.6,10.48,9.66,9.67,9.53,0.94,9.09,81.45,6.02,7545600000.0,7545271064.0,0.0,0.0,73.22,76.13
64,002820,桂发祥,13.68,9.97,1.24,559489.0,732656444.37,9.0,13.68,12.56,12.6,12.44,4.44,27.85,-350.52,3.1,2747878276.0,2747878276.0,0.0,0.0,23.02,11.49
65,600658,电子城,5.74,9.96,0.52,1250753.0,713664992.0,6.32,5.74,5.41,5.5,5.22,3.68,11.18,-23.96,1.12,6420678158.0,6420678158.0,0.0,0.0,26.15,31.05
66,300050,世纪鼎利,6.45,9.88,0.58,1334262.0,864587637.32,19.59,6.93,5.78,5.86,5.87,6.13,24.5,444.65,8.86,3514261331.0,3512118841.0,0.0,-0.15,16.22,20.56
67,002622,皓宸医疗,3.56,9.88,0.32,934562.0,323923866.36,9.57,3.56,3.25,3.27,3.24,1.66,11.13,-61.21,7.83,2990400000.0,2990311890.0,0.0,0.0,29.45,28.99
68,002501,利源股份,2.24,9.8,0.2,3045094.0,661072345.54,10.29,2.24,2.03,2.03,2.04,6.3,8.58,-94.54,24.32,7952000000.0,7951997773.0,0.0,0.0,3.23,40.0
69,301398,星源卓镁,43.91,9.67,3.87,103124.0,443495759.45,17.73,46.9,39.8,39.81,40.04,2.42,30.82,72.58,4.5,4917920000.0,1469228600.0,0.0,0.0,22.38,33.55
70,300953,震裕科技,115.55,9.61,10.13,130553.0,1453286148.59,11.57,115.88,103.68,104.8,105.42,1.91,10.46,68.78,5.19,20045351817.0,14415277787.0,0.01,0.56,9.05,131.56
71,300839,博汇股份,14.94,9.61,1.31,300908.0,444705862.3,18.2,15.88,13.4,13.63,13.63,2.4,11.38,-21.16,7.21,4030470068.0,3951668769.0,0.07,0.27,60.99,107.21
72,002837,英维克,54.75,9.39,4.7,1007855.0,5258955644.3,12.33,55.06,48.89,50.01,50.05,1.0,11.97,276.16,18.78,53035154774.0,46116895553.0,-0.29,1.07,118.56,77.07
73,603123,翠微股份,13.8,9.35,1.18,1013369.0,1348213959.0,9.98,13.88,12.62,12.68,12.62,4.38,15.54,-33.63,5.36,11022565977.0,9001408096.0,0.0,0.8,52.82,71.43
74,600737,中粮糖业,11.35,9.34,0.97,1128606.0,1254171325.0,9.92,11.42,10.39,10.39,10.38,5.25,5.28,34.29,2.25,24275927388.0,24275927388.0,-0.09,-0.18,21.91,11.17
75,688521,芯原股份,107.93,9.24,9.13,190592.0,1978415518.0,11.05,108.48,97.56,98.33,98.8,1.98,3.81,-64.38,15.33,56740233555.0,54057046158.0,-0.03,0.3,29.18,105.86
76,601138,工业富联,39.71,9.24,3.36,2228502.0,8550587057.0,8.91,39.71,36.47,36.47,36.35,1.1,1.12,32.55,5.2,788619457046.0,788568409642.0,0.53,0.63,115.7,90.36
77,300671,富满微,42.78,9.1,3.57,436945.0,1837161565.04,16.4,45.15,38.72,39.0,39.21,1.98,20.12,-92.95,5.78,9314252955.0,9289104090.0,-0.14,0.3,41.7,20.37
78,688499,利元亨,59.0,9.06,4.9,175060.0,983485770.0,14.92,60.48,52.41,54.12,54.1,1.65,10.38,194.13,4.45,9954982090.0,9954982090.0,-0.19,-0.51,113.15,163.75
79,688362,甬矽电子,35.9,8.79,2.9,259833.0,905979439.0,13.3,36.94,32.55,33.43,33.0,2.27,9.29,149.43,5.78,14705570887.0,10044494387.0,-0.42,-0.42,35.73,6.59
80,833171,国航远洋,11.51,8.58,0.91,539443.0,617186023.61,11.42,11.95,10.74,10.8,10.6,4.72,18.8,-103.58,4.75,6392739784.0,3302661548.0,-0.09,-0.17,-14.42,90.25
81,300041,回天新材,11.02,8.57,0.87,873849.0,927754785.84,10.34,11.18,10.13,10.26,10.15,4.88,16.05,18.9,2.3,6164963694.0,5999665909.0,0.09,0.27,20.04,21.77
82,688668,鼎通科技,102.0,8.51,8.0,102143.0,1000115091.0,9.88,102.5,93.21,94.53,94.0,1.38,7.34,61.52,7.61,14198576052.0,14198576052.0,-0.02,0.0,112.23,120.02
83,300766,每日互动,40.88,8.49,3.2,999785.0,4020816064.73,14.2,42.48,37.13,37.41,37.68,2.35,27.91,-244.01,10.06,16137370066.0,14645261553.0,0.0,-0.12,4.07,179.81
84,301323,新莱福,56.98,8.47,4.45,101547.0,578119719.73,11.71,59.95,53.8,54.53,52.53,2.17,15.15,49.06,2.88,5978506272.0,3818068148.0,0.0,0.0,33.79,44.69
85,300399,天利科技,36.5,8.47,2.85,473197.0,1711182693.29,15.54,38.83,33.6,33.68,33.65,2.51,23.95,151.11,13.89,7212400000.0,7211696463.0,0.16,0.16,32.49,48.92
86,603306,华懋科技,46.9,8.39,3.63,195186.0,893286237.0,10.75,47.5,42.85,43.27,43.27,3.23,5.93,44.64,5.38,15432934167.0,15432934167.0,-0.02,-0.13,15.97,48.79
87,300990,同飞股份,68.41,8.38,5.29,88242.0,583882287.98,12.36,70.0,62.2,62.87,63.12,1.22,11.35,46.9,6.16,11612552349.0,5317473043.0,0.01,-0.06,43.78,67.67
88,605208,永茂泰,14.38,8.36,1.11,355720.0,495940189.0,10.63,14.56,13.15,13.3,13.27,3.87,10.78,81.68,2.23,4744537200.0,4744537200.0,0.07,-0.07,0.77,87.48
89,688679,通源环境,19.6,8.29,1.5,77165.0,149982920.0,11.27,19.95,17.91,18.1,18.1,1.6,5.86,-250.46,2.28,2581117630.0,2581117630.0,-0.36,-0.36,34.06,87.56
90,301502,华阳智能,58.56,8.2,4.44,80768.0,458813908.36,16.52,61.05,52.11,52.63,54.12,3.19,33.23,106.23,4.11,3342809760.0,1423374000.0,0.76,0.81,52.06,36.98
91,601606,长城军工,61.65,8.03,4.58,1297634.0,7879400428.0,7.97,62.78,58.23,59.2,57.07,1.36,17.92,-205.74,20.56,44648680860.0,44648680860.0,-1.41,-1.55,355.32,424.23
92,003019,宸展光电,32.96,7.78,2.38,171937.0,555222408.27,7.16,32.99,30.8,30.8,30.58,5.01,10.1,29.26,3.83,5814015852.0,5608868197.0,-0.06,0.33,8.99,31.42
93,300194,福安药业,5.02,7.73,0.36,2007824.0,1038053113.36,11.59,5.48,4.94,4.94,4.66,5.48,20.74,21.62,1.36,5972356158.0,4858811806.0,-0.2,0.0,22.44,13.83
94,873726,卓兆点胶,34.68,7.7,2.48,93175.0,335941214.22,15.59,38.9,33.88,35.0,32.2,2.08,21.58,53.14,4.68,2846438891.0,1497081881.0,-0.12,-0.06,15.37,66.89
95,872808,曙光数创,68.28,7.7,4.88,97513.0,659275978.02,17.3,72.78,61.81,63.4,63.4,2.34,5.01,-108.82,19.92,13656000068.0,13287510729.0,0.0,0.19,27.39,1.31
96,688648,中邮科技,48.17,7.69,3.44,122290.0,581043019.0,12.54,50.76,45.15,46.1,44.73,2.44,18.49,-73.73,4.26,6551120000.0,3185430269.0,-0.25,-0.35,20.18,106.83
97,300196,长海股份,15.95,7.62,1.13,366346.0,564534947.52,9.31,16.07,14.69,14.82,14.82,3.18,14.89,19.83,1.44,6519028957.0,3925534697.0,-0.06,-0.31,36.21,49.2
98,300690,双一科技,35.38,7.6,2.5,576069.0,2041046564.12,11.34,37.63,33.9,34.16,32.88,2.85,52.0,29.29,3.81,5850044754.0,3919445189.0,0.03,0.03,45.78,57.95
99,837242,建邦科技,37.24,7.51,2.6,29010.0,105463151.06,8.75,37.5,34.47,34.66,34.64,3.06,7.9,24.81,3.79,2451276450.0,1366716379.0,0.05,0.0,-0.85,56.93
100,002920,德赛西威,113.91,7.44,7.89,261197.0,2968748708.65,5.39,116.0,110.29,110.29,106.02,4.42,4.72,25.85,6.56,63214274877.0,63007700345.0,0.06,0.12,6.51,4.59
101,688591,泰凌微,51.04,7.34,3.49,166898.0,828728719.0,10.3,51.99,47.09,47.75,47.55,2.56,10.05,86.02,5.22,12287550077.0,8474546650.0,0.0,0.02,39.84,63.59
102,688535,华海诚科,87.71,7.34,6.0,66077.0,557231988.0,12.12,89.8,79.9,82.0,81.71,2.08,12.6,245.46,6.89,7077885893.0,4600876115.0,-0.08,-0.01,21.31,18.29
103,300368,汇金股份,17.63,7.24,1.19,1657891.0,2799347272.85,11.92,17.77,15.81,15.81,16.44,1.21,31.34,-165.87,67.84,9325273464.0,9325273464.0,-0.23,0.63,138.89,306.22
104,300969,恒帅股份,91.0,7.21,6.12,64405.0,569613113.26,9.4,91.98,84.0,86.3,84.88,2.35,21.21,60.96,7.88,10192000000.0,2762786208.0,0.03,0.26,50.66,56.76
105,688127,蓝特光学,30.03,7.17,2.01,149392.0,438838340.0,8.82,30.51,28.04,28.08,28.02,1.78,3.71,66.45,6.74,12107867772.0,12107867772.0,0.0,-0.1,31.08,11.64
106,002967,广电计量,20.21,7.16,1.35,418872.0,832429418.46,8.75,20.5,18.85,18.92,18.86,4.08,7.91,610.94,3.62,11787398548.0,10705664219.0,-0.05,-0.1,19.59,26.15
107,000628,高新发展,53.71,7.16,3.59,418003.0,2166985978.94,9.84,54.45,49.52,50.12,50.12,3.72,21.76,1696.59,9.03,18920958800.0,10316755640.0,0.0,-0.26,8.31,-13.71
108,688669,聚石化学,24.0,7.14,1.6,60422.0,143916839.0,11.21,24.86,22.35,22.52,22.4,2.37,4.98,87.02,2.22,2912000016.0,2912000016.0,-0.25,0.0,29.73,55.44
109,300476,胜宏科技,216.88,7.13,14.43,371253.0,7896596638.19,7.43,217.6,202.55,203.99,202.45,1.19,4.34,50.81,19.34,187099912460.0,185477665675.0,0.11,0.22,185.37,418.98
110,603800,洪田股份,49.99,7.02,3.28,240708.0,1197739633.0,9.38,51.38,47.0,49.74,46.71,1.29,11.57,-102.96,13.44,10397920000.0,10397920000.0,-0.68,-2.38,122.38,98.77
111,600513,联环药业,25.65,7.01,1.68,652677.0,1632478411.0,11.31,26.37,23.66,24.26,23.97,1.02,22.86,79.38,5.26,7321953326.0,7321953326.0,0.31,0.47,179.72,161.2
112,300236,上海新阳,47.05,7.0,3.08,260070.0,1195027626.68,10.64,48.11,43.43,44.71,43.97,2.31,9.33,72.02,3.29,14744594964.0,13114103797.0,0.09,0.15,30.51,26.79
113,300546,雄帝科技,29.89,6.94,1.94,390391.0,1125786437.18,9.95,30.19,27.41,27.62,27.95,1.89,29.1,-133.12,5.13,5578451134.0,4009840194.0,0.0,0.0,77.07,78.13
114,688691,灿芯股份,68.55,6.93,4.44,104013.0,698352922.0,10.75,70.49,63.6,64.8,64.11,1.66,14.55,-79.67,6.23,8226000000.0,4898926436.0,-0.01,0.51,21.16,-10.78
115,300430,诚益通,22.86,6.87,1.47,461454.0,1046177487.58,10.85,23.51,21.19,21.31,21.39,1.41,17.76,123.93,2.8,6241849757.0,5940267218.0,-0.26,-0.26,14.82,49.8
116,603722,阿科力,44.67,6.87,2.87,49286.0,214693563.0,7.54,44.68,41.53,41.8,41.8,3.05,5.15,-221.45,4.66,4274924405.0,4274924405.0,0.2,0.38,15.79,6.61
117,603129,春风动力,270.01,6.84,17.28,26821.0,708195245.0,8.52,274.22,252.7,252.74,252.73,1.68,1.76,20.56,6.08,41197494787.0,41197494787.0,0.0,0.25,50.73,76.22
118,601008,连云港,6.45,6.79,0.41,1264567.0,803188797.0,9.11,6.6,6.05,6.06,6.04,5.89,10.19,87.76,1.98,8002115139.0,8002115139.0,0.16,0.0,-21.34,71.09
119,688199,久日新材,27.29,6.77,1.73,236106.0,638633918.0,12.91,28.86,25.56,28.05,25.56,3.15,14.64,-104.52,1.73,4399891680.0,4399891680.0,-0.37,-0.69,47.51,81.33
120,301259,艾布鲁,42.6,6.77,2.7,96917.0,398031879.0,9.55,42.88,39.07,40.0,39.9,1.66,9.8,195.23,7.89,6645600000.0,4211906219.0,-0.12,-0.26,-5.06,-11.25
121,300756,金马游乐,32.64,6.74,2.06,94027.0,301043609.22,7.33,32.8,30.56,30.58,30.58,1.79,7.17,-1935.7,3.75,5144004465.0,4283358722.0,0.03,0.25,37.78,119.95
122,002396,星网锐捷,30.41,6.74,1.92,325006.0,963735043.29,8.46,30.59,28.18,28.48,28.49,2.29,5.57,106.24,2.72,17899612401.0,17737553254.0,0.0,0.03,54.84,62.27
123,688392,骄成超声,87.66,6.68,5.49,29533.0,252047701.0,8.03,88.6,82.0,83.3,82.17,1.23,4.17,107.32,5.91,10145186338.0,6202130927.0,0.07,-0.25,71.11,116.66
124,300468,四方精创,40.92,6.67,2.56,1002616.0,3965650245.31,8.06,41.0,37.91,38.33,38.36,1.8,18.92,420.92,13.59,21714168333.0,21679173140.0,-0.02,0.24,125.58,152.59
125,301511,德福科技,35.84,6.67,2.24,675810.0,2322730950.05,13.66,36.9,32.31,33.51,33.6,1.62,18.04,310.3,5.63,22590740480.0,13423712548.0,0.0,0.42,132.58,185.35
126,301086,鸿富瀚,59.42,6.66,3.71,60548.0,353006328.68,8.98,60.1,55.1,57.0,55.71,1.48,12.79,71.53,2.83,5347800000.0,2812842558.0,0.03,0.24,40.34,18.67
127,002833,弘亚数控,17.8,6.65,1.11,215186.0,372387499.73,7.25,17.8,16.59,16.68,16.69,3.73,7.46,14.28,2.66,7551317087.0,5136336779.0,0.11,0.28,5.64,8.34
128,301367,瑞迈特,97.77,6.63,6.08,33199.0,320628510.52,8.61,98.8,90.91,91.02,91.69,1.85,5.87,30.45,3.06,8760192000.0,5526428327.0,0.07,0.48,9.17,56.18
129,301232,飞沃科技,42.99,6.62,2.67,167437.0,692321307.72,11.56,43.75,39.09,39.96,40.32,2.04,37.49,51.23,2.31,3231229298.0,1920245722.0,0.02,0.7,52.12,74.05
130,300706,阿石创,48.76,6.56,3.0,417448.0,2029156318.48,18.31,52.98,44.6,44.63,45.76,1.07,36.76,-503.38,10.3,7471031531.0,5537904761.0,0.16,0.29,133.19,102.74
131,688313,仕佳光子,59.08,6.55,3.63,434441.0,2488075704.0,9.31,59.99,54.83,55.0,55.45,1.42,9.47,62.56,19.49,27106041538.0,27106041538.0,0.03,-0.08,90.34,261.79
132,301181,标榜股份,31.14,6.53,1.91,103810.0,313863804.76,8.66,31.48,28.95,29.59,29.23,2.44,27.65,28.77,2.58,3597945899.0,1169025899.0,0.0,-0.06,28.15,51.98
133,002028,思源电气,85.0,6.49,5.18,78895.0,654548135.78,7.64,85.38,79.28,79.81,79.82,1.6,1.3,25.59,4.95,66164448970.0,51576934185.0,0.04,0.08,15.14,17.73
134,688629,华丰科技,59.29,6.45,3.59,271396.0,1571841748.0,9.3,59.99,54.81,55.24,55.7,2.05,14.93,214.8,18.31,27332264950.0,10777916857.0,0.02,-0.05,10.93,77.04
135,600798,宁波海运,4.31,6.42,0.26,1524580.0,647894665.0,7.41,4.4,4.1,4.12,4.05,6.04,12.64,-27.99,1.34,5200162406.0,5200162406.0,0.0,0.0,-12.22,43.19
136,600561,江西长运,7.47,6.41,0.45,206361.0,151302298.0,7.12,7.55,7.05,7.06,7.02,3.28,7.25,-20.09,2.39,2125041696.0,2125041696.0,-0.27,-0.66,19.9,39.11
