候选关键词,出现次数
亿元,37
同比增长,23
财联社,19
十五五,17
日电,17
万元,13
五一,9
同比扭亏为盈,8
归属于上市公司股,8
同比下降,7
第一季度净利润为,7
第一季度净利润同,7
业收入,6
东的净利润为,6
公告称,6
同时,6
鹏辉能源,6
习近平谈治国理政,5
公司,5
其中,5
