板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,4,26,1,17,45,10.899999999999999,18.9,N/A
医药医疗,2,22,1,12,43,8.799999999999999,12.799999999999999,N/A
算力,1,3,0,3,2,1.7,3.7,N/A
低空经济,2,6,0,5,25,-0.5,3.5,N/A
军工,2,0,0,3,10,-2.9,1.1,N/A
半导体,1,1,0,11,33,-8.9,-6.9,N/A
机器人,1,1,0,11,33,-8.9,-6.9,N/A
新能源车,1,1,0,11,33,-8.9,-6.9,N/A
