title,content,source,pub_time
英法拟牵头开展国际行动 保障霍尔木兹海峡航行自由,【英法拟牵头开展国际行动 保障霍尔木兹海峡航行自由】财联社4月18日电，英国首相斯塔默当地时间17日在法国巴黎表示，各国领导人欢迎伊朗开放霍尔木兹海峡的最新进展，但强调相关安排应具备长期性和可操作性。斯塔默指出，国际社会已就此释放出明确信号，即霍尔木兹海峡应在不设通行费用、不附加限制的情况下保持开放。他呼吁，在条件允许时尽快恢复航运，以减轻对全球经济造成的冲击。斯塔默还表示，法国和英国将牵头推进一项国际行动，在条件成熟时启动，旨在保障该海域航行自由，并强调该行动将严格保持和平与防御性质。此外，斯塔默透露，下周将在伦敦举行相关规划会议，预计将有十余个国家参与并提供支持。斯塔默表示，各方期待地区局势尽快恢复和平与稳定。 (央视新闻),cls,00:02:31
,美联储戴利：写字楼空置率似乎有所下降。,sina,2026-04-18 00:02:47
,【法国巴黎银行：苹果公司料将获得智能手机市场份额】法国巴黎银行分析师在一份报告中写道，苹果公司有机会在即将到来的iPhone周期中获得市场份额，并将该股评级上调至“跑赢大盘“，目标价上调至300美元。尽管存储芯片短缺可能导致智能手机行业低端市场的需求遭到破坏，但苹果公司因其规模和与供应链分担成本压力的能力而受到保护。低端智能手机供应量的减少可能会促使消费者转向苹果公司的高端产品，从而加剧现有的产品组合向高端转移的趋势。最后，苹果公司与Google Gemini的交易可能助推其人工智能创新，而今年夏天举行的全球开发者大会可能成为这方面的催化剂。他们预计，到2027年底，苹果公司的智能手机份额将增加2-3个百分点。苹果公司股价上涨3.2%。,sina,2026-04-18 00:02:38
,【英法拟牵头开展国际行动 保障霍尔木兹海峡航行自由】当地时间17日，英国首相斯塔默在法国巴黎表示，各国领导人欢迎伊朗开放霍尔木兹海峡的最新进展，但强调相关安排应具备长期性和可操作性。斯塔默指出，国际社会已就此释放出明确信号，即霍尔木兹海峡应在不设通行费用、不附加限制的情况下保持开放。他呼吁，在条件允许时尽快恢复航运，以减轻对全球经济造成的冲击。斯塔默还表示，法国和英国将牵头推进一项国际行动，在条件成熟时启动，旨在保障该海域航行自由，并强调该行动将严格保持和平与防御性质。此外，斯塔默透露，下周将在伦敦举行相关规划会议，预计将有十余个国家参与并提供支持。斯塔默表示，各方期待地区局势尽快恢复和平与稳定。（央视新闻）,sina,2026-04-18 00:02:00
,苹果上涨3%。,sina,2026-04-18 00:01:40
,马士基：自冲突爆发以来，我们一直遵循该地区安全合作伙伴的指引，截至目前，相关建议均为避免船只过境霍尔木兹海峡。,sina,2026-04-18 00:01:10
,马士基：任何通过该海峡的航行决定都将基于风险评估与对安全局势的密切监控，最新局势动态也会纳入持续评估的考量范围。,sina,2026-04-18 00:00:13
,马士基：我们已经留意到伊朗就霍尔木兹海峡发布的公告。我方船员、船舶以及客户货物的安全仍是我们的首要工作重点。,sina,2026-04-18 00:00:02
,美联储戴利：随着银行资本要求发生变化，储备需求可能下降，美联储资产负债表也可能缩水。,sina,2026-04-17 23:59:57
,洲际交易所（ICE）5月柴油期货收于每吨1028.25美元。,sina,2026-04-17 23:59:48
,INFLEQTION股价上涨27%，创2月中旬以来最大涨幅。,sina,2026-04-17 23:59:23
,特朗普：美国将从伊朗回收 “核尘埃”。,sina,2026-04-17 23:58:33
,西班牙与巴西签署与关键矿物相关的初步协议。,sina,2026-04-17 23:57:57
,美联储戴利：实际的生产率增长可能比我们目前的测量结果更高。,sina,2026-04-17 23:57:31
,市场消息：Canva宣布与Anthropic达成合作，推出AI驱动设计功能。,sina,2026-04-17 23:57:22
,美联储戴利：中长期通胀预期保持稳定锚定。,sina,2026-04-17 23:57:10
,市场消息：LULULEMON创始人创立新运动品牌项目。,sina,2026-04-17 23:56:46
,美联储戴利：维持政策不变仍将对通胀起到抑制作用。,sina,2026-04-17 23:55:53
,【特朗普：伊朗同意无限期暂停核计划，且不会获得任何解冻资金】美国总统特朗普在周五的电话采访中表示，伊朗已同意无限期暂停其核计划，并且不会从美国获得任何解冻资金。特朗普表示，美国和以色列于2月底与伊朗开始的结束战争的协议已基本完成。他表示，关于持久协议的谈判“可能”在本周末举行。“大部分要点已敲定。这将进展得相当快。”除了开放霍尔木兹海峡之外，伊朗尚未就任何协议发表评论，也未就特朗普周四声称伊朗已做出让步（包括在其核计划这一关键问题上）的说法发表评论。特朗普表示，他尚未决定由谁率领美国代表团与伊朗官员会谈以签署协议。当被问及他是否会前往巴基斯坦时，特朗普说：“我可能会。”此外，特朗普还否认伊朗核计划的暂停期将在20年后到期。当被问及该计划是否会完全停止时，特朗普回答说：“没有年限，无限期。”,sina,2026-04-17 23:54:45
,"特朗普：谈判的大部分要点已""敲定""。",sina,2026-04-17 23:54:34
,美联储戴利：目前可能维持利率不变；若通胀大幅飙升，则需要加息；若冲突尽快结束，则可能降息。,sina,2026-04-17 23:54:26
