板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
低空经济,3,6,0,1,12,3.3,9.3,+9.7
人工智能,2,16,1,7,47,3.5,7.5,+8.9
军工,2,0,0,1,7,-1.7,2.3,-4.0
机器人,1,10,1,7,42,-1.5,0.5,-1.4
数字经济,1,10,1,7,42,-1.5,0.5,NEW
国企改革,1,10,1,7,42,-1.5,0.5,+4.6
