板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
医药医疗,1,7,0,1,6,5.5,7.5,N/A
军工,3,0,0,3,2,-1.3,4.7,N/A
人工智能,1,7,5,4,5,-0.2,1.8,N/A
低空经济,1,0,0,1,0,-0.3,1.7,N/A
算力,1,1,0,8,21,-5.6,-3.5999999999999996,N/A
新能源车,1,1,0,8,21,-5.6,-3.5999999999999996,N/A
光伏,1,1,0,8,21,-5.6,-3.5999999999999996,N/A
