title,content,source,pub_time
特朗普：美军将消灭任何靠近封锁区的伊朗“快速攻击艇”,【特朗普：美军将消灭任何靠近封锁区的伊朗“快速攻击艇”】财联社4月13日电，美国总统特朗普13日在社交媒体发文说，如果伊朗的“快速攻击艇”靠近美军的封锁区，它们将立即被消灭。特朗普称，伊朗海军的158艘舰船已被彻底摧毁。他警告，如果尚未被打击的伊朗“快速攻击艇”中任何一艘靠近封锁区，“它们将立即被消灭，使用与我们在海上对付毒贩船只相同的击杀方式——快速而残酷。” (新华社),cls,22:31:27
王毅同巴基斯坦副总理兼外长达尔通电话,"【王毅同巴基斯坦副总理兼外长达尔通电话】财联社4月13日电，中共中央政治局委员、外交部长王毅13日同巴基斯坦副总理兼外长达尔通电话。达尔全面介绍了巴方斡旋伊朗与美国接谈情况，感谢中方促和努力，愿同中方密切沟通协作，共同为实现地区和平发挥积极作用。

王毅重申中方原则立场，赞赏巴方促成美伊临时停火并主办伊斯兰堡会谈，发挥了公正平衡的斡旋作用。王毅表示，当前停火局面十分脆弱，地区局势处于关键转折阶段。当务之急是全力避免战端重启，保持来之不易停火势头。国际社会应继续加大劝和促谈努力，旗帜鲜明反对任何破坏停火、升级对抗的行径。中国和巴基斯坦关于恢复海湾和中东地区和平稳定的五点倡议，体现了国际社会促和共识，仍可成为解决问题的努力方向。中方乐见巴方发挥更大作用，愿同包括巴方在内国际社会一道，继续为早日恢复中东地区和平稳定作出积极贡献。 (新华社)",cls,22:34:31
,财联社4月13日电，据半岛电视台报道，美军目前已经开始对进出霍尔木兹海峡的船只进行阻截。 (CCTV国际时讯),cls,22:39:09
,财联社4月13日电，钯金期货日内涨2%，现报1571.50美元/盎司。,cls,22:44:52
港股IPO：华工科技产业股份有限公司递表港交所,【港股IPO：华工科技产业股份有限公司递表港交所】财联社4月13日电，利弗莫尔证券显示，华工科技产业股份有限公司向港交所提交上市申请书，独家保荐人为中信证券。,cls,22:47:29
比特币向上突破72000美元,【比特币向上突破72000美元】财联社4月13日电，行情显示，比特币涨至72139.1美元，过去24小时内涨1.9%。,cls,22:48:21
【季报高增长】CPO+算力，一季度净利润环比增长超300%！这家公司光互联业务受益于数据中心的密集建设，带来的光模块订单快速增长，旗下400G、800G、1.6T等高速光模块出货量大幅提升,①CPO+算力，一季度净利润环比增长超300%！这家公司光互联业务受益于数据中心的密集建设，带来的光模块订单快速增长，旗下400G、800G、1.6T等高速光模块出货量大幅提升；②PCB+数据中心，聚焦高阶PCB的瓶颈及关键制程，加快推进高端扩产项目的建设，数据通讯应用领域PCB业务有望延续高速增长趋势，泰国生产基地一季度产能利用率已超90%，这家公司净利润同比增长超50%！,cls,22:58:49
,财联社4月13日电，诺基亚股价涨幅一度达10.4%，触及16年高点。,cls,23:00:32
,财联社4月13日电，国内商品期货夜盘收盘，对二甲苯夜盘收涨约1.3%，20号胶、瓶片涨超1%，玻璃、热卷、铁矿石涨超0.2%。焦炭跌约0.4%，低硫燃油跌约1.4%。,cls,23:01:17
,财联社4月13日电，LME期铝涨3.1%，报3608.50美元，创2022年3月以来盘中新高。,cls,23:03:45
俄方证实俄海军护航俄油轮通过英吉利海峡,【俄方证实俄海军护航俄油轮通过英吉利海峡】财联社4月13日电，据《俄罗斯报》13日报道，俄罗斯总统助理兼海事委员会主席帕特鲁舍夫证实，俄黑海舰队一艘护卫舰上周为载有俄罗斯石油的油轮提供护航，确保其通过英吉利海峡。帕特鲁舍夫在接受采访时说，美国、英国、法国及其部分盟友正试图对海上重要通道实施政治、军事和经济控制，其中，英方决定禁止与俄罗斯有贸易往来的船只通过英吉利海峡。俄方认为上述做法“不可接受”。针对西方国家企图封锁俄对外贸易重要海上通道的行径，俄方正采取政治、外交和其他应对措施。 (新华社),cls,23:09:01
俄乌相互指责对方违反复活节停火安排,【俄乌相互指责对方违反复活节停火安排】财联社4月13日电，俄罗斯国防部和乌克兰武装部队总参谋部13日相互指责对方在东正教复活节期间违反停火安排。俄国防部当日发布战报说，根据俄武装力量最高统帅普京的命令，俄军自11日16时至12日24时，严格遵守东正教复活节停火安排。停火期间，俄方共记录到乌方6558次违反停火安排的行为。俄方说，乌军使用火炮和无人机对俄军阵地以及俄部分边境地区的民用设施进行打击。复活节停火结束后，俄军继续开展特别军事行动。乌武装部队总参谋部同一天在社交媒体发文称，停火期间，俄军共违反停火10721次。俄军对乌军阵地发动炮击和地面进攻，并使用多款小型攻击无人机发动袭击。乌军在前线所有区域“实施了有效反击”。 (新华社),cls,23:14:34
巴林召见伊拉克临时代办抗议无人机袭击,【巴林召见伊拉克临时代办抗议无人机袭击】财联社4月13日电，巴林外交部13日召见伊拉克驻巴林大使馆临时代办艾哈迈德·伊斯梅尔·卡拉维，就从伊拉克境内发射的无人机持续袭击巴林及其他海湾国家提出强烈抗议。巴林外交部双边关系司司长阿卜杜拉·本·阿里·阿勒哈利法向伊拉克临时代办递交抗议照会时表示，伊拉克有义务应对上述威胁与袭击。他强调，巴林保留采取一切必要措施的权利，以维护国家安全、稳定以及本国公民和在巴居民的安全。 (新华社),cls,23:15:52
,财联社4月13日电，全球第二大锂生产商智利矿业化工（SQM）高管表示，该公司预计2026年碳酸锂价格将维持在每千克15-18美元区间。,cls,23:16:49
卡塔尔首相警告绝不能将海上航线用作“谈判筹码”,【卡塔尔首相警告绝不能将海上航线用作“谈判筹码”】财联社4月13日电，卡塔尔外交部13日发表声明说，卡塔尔首相兼外交大臣穆罕默德当天强调，有必要确保航行自由，不应将其作为谈判筹码或施压手段。穆罕默德在与伊朗外交部长阿拉格齐通电话时说，美国和伊朗应“积极响应调解努力”，并警告说绝不能将海上航线用作“谈判筹码”。他认为有必要巩固美伊停火成果，以促进中东地区安全与稳定。 (新华社),cls,23:23:57
伊朗外交部：美方“不断变卦”导致双方未能达成协议,【伊朗外交部：美方“不断变卦”导致双方未能达成协议】财联社4月13日电，伊朗外交部13日表示，美国在伊斯兰堡与伊朗的谈判中不断改变要求，这正是双方未能达成协议的原因。伊外交部说，伊朗外交部长阿拉格齐12日晚在与法国外交部长巴罗通电话中表示，尽管伊方对美方“完全不信任”，但仍以负责任和善意态度参与谈判，并在多个议题上取得进展。然而，由于美方提出过分要求并不断改变诉求，最终未能达成协议。 (新华社),cls,23:26:36
,财联社4月13日电，意大利电信据悉已指定高盛和Evercore为财务顾问，以评估意大利邮政提出的108亿欧元的收购报价。,cls,23:29:48
,财联社4月13日电，戴尔涨幅扩大至超7%。,cls,23:30:54
,财联社4月13日电，美国财政部拍卖三个月期国债，得标利率3.620%，投标倍数2.77；拍卖六个月期国债，得标利率3.610%，投标倍数2.84。,cls,23:34:18
欧洲主要股指收盘集体走低,【欧洲主要股指收盘集体走低】财联社4月13日电，欧洲主要股指收盘集体走低，欧洲斯托克(Eurostoxx)50指数跌0.35%，英国富时100指数跌0.20%，法国CAC40指数跌0.29%，德国DAX30指数跌0.53%，富时意大利MIB指数跌0.17%。,cls,23:34:53
,伊朗国防部发言人：任何外国势力对霍尔木兹海峡安全的军事干预都将加剧全球能源安全危机和不稳定。,sina,2026-04-13 23:42:37
,伊朗警告称，任何针对其港口的袭击都将导致波斯湾所有港口不再安全。,sina,2026-04-13 23:42:00
,荷兰合作银行预测：2026年巴西化肥用量预计为4720万吨，低于2025年的4910万吨。,sina,2026-04-13 23:40:40
,英国首相斯塔默：伊朗在霍尔木兹海峡的行为正在造成难以估量的经济损失。,sina,2026-04-13 23:40:00
,英国首相斯塔默：我们呼吁黎巴嫩立即加入停火协议。真主党必须解除武装。但我同样明确地表示，以色列的空袭是错误的，轰炸必须立即停止。,sina,2026-04-13 23:38:31
,黎巴嫩卫生部称，自3月2日以来，以色列袭击造成的黎巴嫩死亡人数已达2089人。,sina,2026-04-13 23:36:01
,【冯德莱恩：欧盟拟出台能源措施应对中东局势影响】欧盟委员会主席冯德莱恩13日表示，中东危机已对欧盟经济造成巨大影响。欧盟委员会将提出一系列举措，以应对能源价格上涨和供应受阻。 冯德莱恩当天在布鲁塞尔举行的记者会上说，此次中东冲突开始以来，欧盟进口化石燃料成本已增加220亿欧元。欧盟委员会将于本月22日公布能源价格应对措施提案，并将提交下周在塞浦路斯举行的欧盟领导人非正式会议讨论。（新华社）,sina,2026-04-13 23:34:36
,【中央广播电视总台召开大健康品牌成长共创会】4月13日，2026中央广播电视总台大健康品牌成长共创会在浙江乌镇召开，聚焦大健康产业高质量发展与品牌价值提升，搭建国家媒体与健康领域深度联动平台。中央广播电视总台副台长齐竹泉出席活动并致辞。来自健康领域的知名企业、权威机构代表近200人参会。（央视新闻）,sina,2026-04-13 23:33:15
,美国财政部拍卖三个月期国债，得标利率3.620%，投标倍数2.77。拍卖六个月期国债，得标利率3.610%，投标倍数2.84。,sina,2026-04-13 23:32:46
,市场资讯：俄罗斯最大黑海港口的原油出口仍受到限制，在上周遭遇乌克兰无人机袭击后，该港口两个最大的泊位尚未恢复装运。,sina,2026-04-13 23:31:43
,【欧洲主要股指收盘普跌】欧洲斯托克600指数下跌0.17%，欧洲斯托克指数下跌0.32%，欧元区蓝筹股指数下跌0.37%。法国CAC 40指数下跌0.37%，西班牙IBEX指数下跌1.01%，英国富时100指数下跌0.19%，德国DAX指数下跌0.23%。,sina,2026-04-13 23:31:24
,戴尔科技股价上涨至7.6%。,sina,2026-04-13 23:29:15
,乌克兰无人机部队指挥官称，基辅袭击了俄罗斯沃洛格达州的一处化工厂。,sina,2026-04-13 23:28:36
,英国首相斯塔默表示，各国领导人峰会将于本周召开，以解决霍尔木兹海峡问题。,sina,2026-04-13 23:28:05
,【伊朗外交部：美方“不断变卦”导致双方未能达成协议】伊朗外交部13日表示，美国在伊斯兰堡与伊朗的谈判中不断改变要求，这正是双方未能达成协议的原因。伊外交部说，伊朗外交部长阿拉格齐12日晚在与法国外交部长巴罗通电话中表示，尽管伊方对美方“完全不信任”，但仍以负责任和善意态度参与谈判，并在多个议题上取得进展。然而，由于美方提出过分要求并不断改变诉求，最终未能达成协议。 (新华社),sina,2026-04-13 23:27:38
,【美国大型银行第二季度发债规模料将较前季明显减少】在度过有史以来最繁忙年初开局后，美国的六大银行美银、花旗、高盛、摩根大通、摩根士丹利和富国本季度预计将减少债券发行量。摩根大通和巴克莱的分析师预计，这些银行本季度将发行350亿至450亿美元的高评级债券。而根据彭博汇编的数据，第一季度它们共发行了658亿美元的投资级债券，尽管花旗集团当时并未参与发债。几乎所有债务发行都发生在伊朗战争爆发之前，其中以高盛集团创纪录的160亿美元交易为首，这使第一季度发行规模创下历史新高，基于彭博行业研究分析师的估算，也是自2021年第二季度以来最大规模。,sina,2026-04-13 23:25:24
,惠普公司股价飙升，涨幅高达4.3%。,sina,2026-04-13 23:23:47
,【卡塔尔首相警告绝不能将海上航线用作“谈判筹码”】卡塔尔外交部13日发表声明说，卡塔尔首相兼外交大臣穆罕默德当天强调，有必要确保航行自由，不应将其作为谈判筹码或施压手段。穆罕默德在与伊朗外交部长阿拉格齐通电话时说，美国和伊朗应“积极响应调解努力”，并警告说绝不能将海上航线用作“谈判筹码”。他认为有必要巩固美伊停火成果，以促进中东地区安全与稳定。（新华社）,sina,2026-04-13 23:23:35
,"【外交部发言人就中东局势答记者问 阐释中方在霍尔木兹海峡等问题上的立场】
外交部发言人郭嘉昆13日就中东局势答记者问，阐释中方在霍尔木兹海峡、美伊谈判等问题上的立场。
解决霍尔木兹海峡通航受阻问题的出路是尽快停火止战
当日例行记者会上，有记者问：当地时间4月12日，美国总统特朗普下令对霍尔木兹海峡实施封锁，并称将对与伊朗进行能源贸易的国家采取措施。特朗普在采访中呼吁中国购买美国和委内瑞拉石油。请问中方对此有何评论？如何看待霍尔木兹海峡安全和相关能源问题？
郭嘉昆表示，霍尔木兹海峡是重要的国际货物和能源贸易通道，维护该地区的安全稳定和畅通符合国际社会共同利益。“海峡通航受阻的根源在于伊朗战事，解决这一问题的出路是尽快停火止战。各方应保持冷静和克制，中方愿继续发挥积极建设性作用。”他说。
关于购买石油问题，郭嘉昆说，中方愿同各方共同维护全球能源安全和产供链稳定，但要从根本上解决问题，首先应当做的是推动海湾和中东地区恢复和平稳定。“委内瑞拉是主权国家，对本国的自然资源和一切经济活动拥有充分的永久主权，有权自主选择合作对象，其他国家无权指手画脚。”
美伊谈判是朝有利于局势缓和方向迈出的一步 希望相关方坚持通过政治外交途径化解争端
有记者问：上周末，美国和伊朗在伊斯兰堡举行谈判但未能达成协议。美方指责伊方拒绝放弃核项目，而伊方指责美方提出“极端要求”。中方对此次谈判未能达成协议有何评论？
郭嘉昆表示，美伊双方在巴基斯坦开启谈判，是朝有利于局势缓和方向迈出的一步。中方希望相关方恪守临时停火安排，坚持通过政治外交途径化解争端，避免重燃战火，为早日恢复海湾地区和平安宁创造条件。
中国在军品出口方面一贯采取慎重、负责任态度 反对无根据的抹黑或恶意关联
有记者问：美国总统特朗普周日称，如果发现中国向伊朗提供武器，美将对华加征50%关税。中方对此有何评论？
“中方的立场非常明确，关税战没有赢家。”郭嘉昆说。
有记者问：有报道称，中国计划向伊朗运送武器并已提供两用技术和零部件。中方对此有何回应？
郭嘉昆说，中国在军品出口方面一贯采取慎重、负责任态度，根据本国出口管制法律法规及承担的国际义务，实施严格管控。“我们反对无根据的抹黑或恶意关联。”",sina,2026-04-13 23:20:36
,【美国高级官员：美国对伊朗封锁正式实施】一名美国高级官员透露，美国对伊朗的封锁已正式生效，目前已有超过 15 艘美军战舰部署到位，为此次行动提供支援。据美国海军及中央司令部官员介绍，美军在中东地区部署有一艘航空母舰、多艘导弹驱逐舰、一艘两栖攻击舰及其他若干舰艇。这些舰艇可搭载直升机支援临检登临行动，部分舰艇还能引导商船驶向指定区域并实施管控。退役海军中将凯文・多内根表示，美军战舰很可能在霍尔木兹海峡以外区域行动，以规避来自伊朗的火力威胁。“封锁行动可以通过多种方式实施，目前该地区已部署大量登临作战部队。” 多内根称，“此次行动不会一蹴而就，而是逐步推进。封锁要产生效果，需要一定时间。”,sina,2026-04-13 23:19:40
