title,content,source,pub_time
微软将向7%的美国员工提供自愿退休方案,【微软将向7%的美国员工提供自愿退休方案】财联社4月23日电，微软计划推出员工自愿买断方案，将向7%的美国员工提供自愿退休方案。该方案适用于高级总监及以下级别、且其工龄与年龄之和达到70岁或以上的员工。,cls,23:29:17
伊媒：过去两天有4艘伊朗油轮突破美军封锁,【伊媒：过去两天有4艘伊朗油轮突破美军封锁】财联社4月23日电，伊朗塔斯尼姆通讯社23日援引一家油轮监测网站数据报道，过去两天内，已有4艘伊朗油轮突破美军封锁进入伊朗海域。,cls,23:30:35
欧洲股市集体收跌,【欧洲股市集体收跌】财联社4月23日电，欧洲斯托克50指数跌0.27%，英国富时100指数跌0.21%，法国CAC40指数涨0.87%，德国DAX30指数跌0.26%，富时意大利MIB指数涨0.26%。,cls,23:38:04
伊朗称将持续生产国防装备 全力保障武装力量需求,【伊朗称将持续生产国防装备 全力保障武装力量需求】财联社4月23日电，伊朗国防部和武装部队后勤部门发言人表示，伊朗国防装备的生产进程从未中断，也不会停止。他表示，伊国防部正根据战备、实战以及停火等不同阶段的需要，在“哈塔姆·安比亚”中央司令部和最高领袖的统帅下，持续为武装力量提供各类保障。 (央视新闻),cls,23:40:34
,财联社4月23日电，美国中央司令部表示，自对伊朗实施封锁以来，美国军队已对33艘船只实施改道处理。,cls,23:42:49
,财联社4月23日电，德州仪器股价涨幅扩大至19%，为自2001年以来最大单日涨幅。,cls,23:45:12
,财联社4月23日电，特朗普表示，英国国王的访问可能有助于修复英国与美国的关系。,cls,23:48:00
美弗吉尼亚州一法官阻止该州重划选区,【美弗吉尼亚州一法官阻止该州重划选区】财联社4月23日电，据美媒23日报道，美国弗吉尼亚州一名法官22日裁定禁止认证该州选区重划结果。此前一天，该州选民在公投中通过了一项有利于民主党的选区重划方案。 (新华社),cls,23:49:07
,财联社4月23日电，总部位于阿姆斯特丹的金融科技平台Adyen将收购Talon.one，金额7.5亿欧元。,cls,23:50:14
创达新材：拟1.1亿元投建半导体封装材料产线,【创达新材：拟1.1亿元投建半导体封装材料产线】财联社4月23日电，创达新材公告，公司拟与无锡国家高新区管委会签署工业用地投资发展监管协议，购买地块投建“年产2128吨及40000平方米半导体先进封装材料生产线项目”。项目总投资约1.1亿元，建设期1.5年，项目达产后，将年产约2128吨半导体先进封装材料及40000平方米环氧膜。,cls,23:52:59
以色列称已准备好重启与伊朗的战争,【以色列称已准备好重启与伊朗的战争】财联社4月23日电，以色列国防部长卡茨23日在形势评估结束时表示，以色列已做好重启与伊朗战争的准备，“只等美国的绿灯”。 (央视新闻),cls,23:55:24
