板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,3,17,0,8,55,3.6,9.6,N/A
数字经济,3,19,0,11,71,1.5,7.5,N/A
军工,2,0,0,1,1,-0.5,3.5,N/A
机器人,1,2,0,2,2,1.0,3.0,N/A
低空经济,1,0,0,1,1,-0.5,1.5,N/A
光伏,1,1,0,1,9,-1.1,0.8999999999999999,N/A
