板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
低空经济,2,1,1,7,3,-2.7,1.2999999999999998,N/A
算力,1,2,0,2,11,-0.8,1.2,N/A
跨境出海,1,2,0,2,11,-0.8,1.2,N/A
军工,2,0,1,5,2,-2.9,1.1,N/A
