候选关键词,出现次数,建议板块,建议置信度
日电,18,待人工判断,低
财联社,18,待人工判断,低
欧洲央行管委纳格,11,待人工判断,低
万桶,10,待人工判断,低
新华社,7,待人工判断,低
红色研学之旅,6,待人工判断,低
日报道,5,待人工判断,低
苏林表示,5,待人工判断,低
中共中央总书记,4,待人工判断,低
减少,4,待人工判断,低
周年,4,待人工判断,低
国家主席苏林,4,待人工判断,低
指数跌,4,待人工判断,低
日称,4,待人工判断,低
涨超,4,待人工判断,低
美元,4,待人工判断,低
中共中央政治局常,3,待人工判断,低
中央书记处常务书,3,待人工判断,低
习近平强调,3,待人工判断,低
五一,3,待人工判断,低
