板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
半导体,1,1,0,2,7,-1.0,1.0,N/A
低空经济,1,1,0,5,15,-3.5,-1.5,N/A
人工智能,1,1,0,9,23,-6.3,-4.3,N/A
数字经济,1,1,0,9,23,-6.3,-4.3,N/A
