板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,2,15,0,9,57,0.8999999999999999,4.9,N/A
算力,1,15,0,9,49,2.5,4.5,N/A
机器人,1,15,0,9,49,2.5,4.5,N/A
光伏,1,15,0,9,49,2.5,4.5,N/A
跨境出海,1,15,0,9,49,2.5,4.5,N/A
新能源车,2,18,0,17,72,-1.5,2.5,N/A
低空经济,2,0,0,3,3,-1.5,2.5,N/A
军工,1,1,0,6,10,-2.8,-0.7999999999999998,N/A
