板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,3,4,0,7,8,0.30000000000000027,6.300000000000001,+4.0
机器人,1,2,0,1,9,-0.1,1.9,-6.1
光伏,1,5,0,14,10,-1.2,0.8,NEW
新能源车,2,6,0,16,23,-3.4000000000000004,0.5999999999999996,-16.3
低空经济,1,0,0,6,3,-2.4,-0.3999999999999999,-8.5
人工智能,3,11,0,36,38,-7.3999999999999995,-1.3999999999999995,-9.4
国企改革,1,4,0,21,19,-6.1,-4.1,NEW
