股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600012,皖通高速,0.9428571428571428,0.8518518518518519,62,35,27,36,25
601928,凤凰传媒,0.9714285714285714,0.8148148148148148,62,35,27,28,30
600461,洪城环境,0.9714285714285714,0.8148148148148148,62,35,27,31,30
600023,浙能电力,0.9428571428571428,0.8148148148148148,62,35,27,40,19
601098,中南传媒,1.0,0.7777777777777778,62,35,27,34,26
600887,伊利股份,1.0,0.7777777777777778,62,35,27,27,32
601006,大秦铁路,1.0,0.7777777777777778,62,35,27,33,25
600803,新奥股份,0.8571428571428571,0.7777777777777778,62,35,27,32,30
000949,新乡化纤,1.0,0.7037037037037037,62,35,27,31,30
601857,中国石油,0.8,0.7037037037037037,62,35,27,29,33
