股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600872,中炬高新,0.9444444444444444,0.8333333333333334,60,36,24,36,23
600887,伊利股份,0.9722222222222222,0.7916666666666666,60,36,24,29,27
600027,华电国际,0.9722222222222222,0.7916666666666666,60,36,24,32,27
603238,诺邦股份,0.9444444444444444,0.7916666666666666,60,36,24,37,20
601107,四川成渝,1.0,0.75,60,36,24,29,28
600189,泉阳泉,1.0,0.75,60,36,24,32,24
601038,一拖股份,1.0,0.75,60,36,24,34,24
002003,伟星股份,0.9722222222222222,0.75,60,36,24,32,26
000828,东莞控股,0.9722222222222222,0.75,60,36,24,30,27
601985,中国核电,1.0,0.7083333333333334,60,36,24,30,29
600598,北大荒,0.8333333333333334,0.7083333333333334,60,36,24,31,27
