股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600012,皖通高速,0.9459459459459459,0.84,62,37,25,37,24
002507,涪陵榨菜,1.0,0.8,62,37,25,26,32
600461,洪城环境,0.972972972972973,0.8,62,37,25,30,30
601567,三星电气,0.972972972972973,0.8,62,37,25,29,29
600023,浙能电力,0.9459459459459459,0.8,62,37,25,36,23
002461,珠江啤酒,0.972972972972973,0.76,62,37,25,35,26
000828,东莞控股,0.972972972972973,0.76,62,37,25,30,29
600803,新奥股份,0.8648648648648649,0.76,62,37,25,31,31
601985,中国核电,1.0,0.72,62,37,25,27,33
601098,中南传媒,1.0,0.72,62,37,25,34,26
601006,大秦铁路,1.0,0.72,62,37,25,32,27
603233,大参林,0.972972972972973,0.72,62,37,25,34,26
