股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600012,皖通高速,0.9459459459459459,0.84,62,37,25,37,24
601928,凤凰传媒,0.972972972972973,0.8,62,37,25,30,28
000700,模塑科技,0.972972972972973,0.8,62,37,25,33,28
600461,洪城环境,0.972972972972973,0.8,62,37,25,33,28
603569,长久物流,0.9459459459459459,0.8,62,37,25,39,20
601098,中南传媒,1.0,0.76,62,37,25,35,25
601006,大秦铁路,1.0,0.76,62,37,25,33,25
002003,伟星股份,0.972972972972973,0.76,62,37,25,33,27
601985,中国核电,1.0,0.72,62,37,25,32,29
000828,东莞控股,0.972972972972973,0.72,62,37,25,30,29
